"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-22","21.6",",,S",,,"20.3","H,,S",,,,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-23","2.5",",,S",,,"12.8","H,,S","16.3",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-24","8.4",",,S",,,"8.9","H,,S","10.4",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-25","0.0",",,S",,,"11.7","H,,S","13.9",",,S","8.0",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-26","0.0",",,S",,,"16.9","H,,S","19.5",",,S","9.6",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-27","0.0",",,S",,,"21.4","H,,S","22.6",",,S","14.8",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-28","0.0",",,S",,,"23.5","H,,S","24.4",",,S","21.5",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-29","0.0",",,S",,,"21.8","H,,S",,,,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-30","15.0",",,S",,,"19.3","H,,S","21.6",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-01-31","8.4",",,S",,,"19.6","H,,S","21.2",",,S","17.2",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-01","6.1",",,S",,,"16.5","H,,S","19.6",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-02","2.0",",,S",,,"15.8","H,,S","18.4",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-03","0.5",",,S",,,"18.5","H,,S","19.3",",,S","14.5",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-04","2.0",",,S",,,"19.2","H,,S","21.4",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-05","70.1",",,S",,,"17.6","H,,S","19.5",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-06","0.5",",,S",,,"14.7","H,,S","18.5",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-07","0.0",",,S",,,"13.7","H,,S","17.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-08","0.0",",,S",,,"15.9","H,,S","19.6",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-09","0.0",",,S",,,"18.5","H,,S","21.2",",,S","13.0",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-10","0.0",",,S",,,"21.9","H,,S","24.0",",,S","16.2",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-11","0.0",",,S",,,"23.6","H,,S","25.1",",,S","21.2",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-12","0.0",",,S",,,"23.9","H,,S","25.2",",,S","22.9",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-13","0.0",",,S",,,"24.6","H,,S",,,,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-14","0.0",",,S",,,"18.7","H,,S","27.3",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-15","0.5",",,S",,,"13.4","H,,S",,,,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-16","0.0",",,S",,,"14.9","H,,S","15.9",",,S","12.7",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-17","0.0",",,S",,,"16.8","H,,S",,,"14.4",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-18","0.0",",,S",,,"20.4","H,,S",,,"16.2",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-19","1.5",",,S",,,"20.6","H,,S","23.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-20","5.6",",,S",,,"16.4","H,,S","20.0",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-21","0.5",",,S",,,"19.1","H,,S",,,"14.4",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-22","0.0",",,S",,,"21.6","H,,S",,,,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-23","8.9",",,S",,,"18.2","H,,S","19.8",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-24","1.5",",,S",,,"16.0","H,,S","17.2",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-25","0.5",",,S",,,"17.4","H,,S",,,"15.0",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-26","6.1",",,S",,,"19.2","H,,S",,,"16.4",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-27","6.6",",,S",,,"19.9","H,,S","22.1",",,S","18.3",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-28","8.4",",,S",,,"20.4","H,,S","24.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-02-29","0.0",",,S",,,"16.0","H,,S","20.3",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-01",,,,,"15.4","H,,S",,,"12.6",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-02","0.0",",,S",,,"19.3","H,,S","21.5",",,S","13.9",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-03",,,,,"21.6","H,,S","24.4",",,S","18.5",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-04","1.0",",,S",,,"22.5","H,,S","24.1",",,S","19.7",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-05","0.0",",,S",,,"23.0","H,,S","25.9",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-06","0.5",",,S",,,"22.7","H,,S","26.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-07","0.0",",,S",,,"23.5","H,,S","25.9",",,S","20.0",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-08","0.0",",,S",,,"24.1","H,,S","26.0",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-09","14.5",",,S",,,"19.4","H,,S","24.0",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-10","11.4",",,S",,,"15.8","H,,S","18.0",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-11","11.9",",,S",,,"15.6","H,,S",,,"14.6",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-12","0.0",",,S",,,"20.4","H,,S",,,"14.9",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-13","0.0",",,S",,,"21.8","H,,S","24.4",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-14","55.1",",,S",,,"17.1","H,,S","17.9",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-15","0.5",",,S",,,"19.3","H,,S",,,"16.2",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-16","0.0",",,S",,,"21.0","H,,S","23.1",",,S","19.4",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-17","1.0",",,S",,,"23.2","H,,S","25.8",",,S","19.5",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-18","0.0",",,S",,,"23.8","H,,S",,,"22.5",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-19","2.0",",,S",,,"21.8","H,,S","25.4",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-20","3.0",",,S",,,"21.2","H,,S","23.9",",,S","19.2",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-21","0.0",",,S",,,"21.7","H,,S","24.5",",,S","19.5",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-22","0.0",",,S",,,"21.9","H,,S","23.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-23",,,,,"19.7","H,,S","25.3",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-24","4.1",",,S",,,"16.5","H,,S","17.7",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-25","0.0",",,S",,,"16.3","H,,S","19.2",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-26","16.5",",,S",,,"16.4","H,,S","19.6",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-27","0.0",",,S",,,"16.6","H,,S","19.3",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-28","0.0",",,S",,,"18.6","H,,S","21.5",",,S","13.5",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-29","0.0",",,S",,,"20.7","H,,S","23.0",",,S","16.5",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-30","0.0",",,S",,,"22.9","H,,S","25.3",",,S","19.2",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-03-31","0.0",",,S",,,"22.7","H,,S","26.3",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-01","32.5",",,S",,,"21.5","H,,S","25.0",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-02","0.0",",,S",,,"23.4","H,,S",,,"19.0",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-03","0.0",",,S",,,"24.4","H,,S","25.9",",,S","22.2",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-04","0.0",",,S",,,"24.8","H,,S",,,,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-05","11.9",",,S",,,"24.7","H,,S","27.2",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-06","0.0",",,S",,,"25.4","H,,S",,,"23.1",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-07","0.0",",,S",,,"25.8","H,,S","28.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-08","0.0",",,S",,,"26.3","H,,S","29.1",",,S","24.8",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-09","3.6",",,S",,,"25.9","H,,S",,,,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-10","4.1",",,S",,,"25.0","H,,S","27.9",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-11","2.0",",,S",,,"24.1","H,,S","26.6",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-12","21.1",",,S",,,"25.3","H,,S","27.2",",,S","21.9",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-13","30.0",",,S",,,"24.9","H,,S",,,,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-14","24.9",",,S",,,"24.1","H,,S","27.2",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-15","0.5",",,S",,,"24.2","H,,S","25.7",",,S","21.3",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-16","0.0",",,S",,,"26.1","H,,S","27.9",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-17","4.1",",,S",,,"25.2","H,,S","26.2",",,S","24.0",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-18","15.5",",,S",,,"24.3","H,,S","29.0",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-19","0.0",",,S",,,"24.7","H,,S","27.6",",,S","21.9",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-20","0.0",",,S",,,"25.9","H,,S","27.5",",,S","23.3",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-21","0.0",",,S",,,"26.9","H,,S","28.9",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-22","0.0",",,S",,,"27.0","H,,S","29.9",",,S","25.7",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-23","0.0",",,S",,,"27.2","H,,S","29.0",",,S","26.0",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-24","0.0",",,S",,,"25.9","H,,S","29.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-25","43.9",",,S",,,"26.6","H,,S",,,,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-26","5.1",",,S",,,"26.7","H,,S",,,,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-27","12.4",",,S",,,"24.3","H,,S","26.6",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-28","50.0",",,S",,,"22.5","H,,S","26.5",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-29","0.5",",,S",,,"22.9","H,,S","26.5",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-04-30","0.0",",,S",,,"25.1","H,,S","27.3",",,S","20.2",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-01","0.0",",,S",,,"25.8","H,,S","27.4",",,S","24.0",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-02","0.0",",,S",,,"27.2","H,,S","29.3",",,S","25.4",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-03","0.0",",,S",,,"26.4","H,,S","30.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-04","1.5",",,S",,,"27.2","H,,S","29.3",",,S","24.7",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-05","0.0",",,S",,,"27.7","H,,S","30.7",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-06","0.0",",,S",,,"27.9","H,,S","30.3",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-07","0.0",",,S",,,"28.2","H,,S","30.8",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-08","0.0",",,S",,,"28.3","H,,S","30.9",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-09","0.0",",,S",,,"28.2","H,,S","30.5",",,S","26.9",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-10","0.0",",,S",,,"27.2","H,,S","30.6",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-11","16.5",",,S",,,"24.8","H,,S",,,"23.0",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-12","0.0",",,S",,,"27.2","H,,S","29.9",",,S","24.1",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-13","0.0",",,S",,,"27.7","H,,S","31.4",",,S","25.5",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-14","4.6",",,S",,,"27.2","H,,S","30.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-15","5.6",",,S",,,"28.2","H,,S","30.7",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-16","0.5",",,S",,,"23.6","H,,S","29.3",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-17","8.4",",,S",,,"24.9","H,,S","26.6",",,S","21.5",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-18","18.5",",,S",,,"26.2","H,,S","27.5",",,S","23.5",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-19","3.6",",,S",,,"26.6","H,,S","30.0",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-20","0.0",",,S",,,"26.7","H,,S","29.1",",,S","24.0",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-21","0.0",",,S",,,"26.9","H,,S","29.8",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-22","21.6",",,S",,,"26.3","H,,S","29.3",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-23","13.5",",,S",,,"27.4","H,,S","30.8",",,S","25.0",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-24","7.9",",,S",,,"27.7","H,,S","31.0",",,S","25.9",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-25","15.0",",,S",,,"27.8","H,,S","30.5",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-26","0.5",",,S",,,"29.0","H,,S","31.6",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-27","0.0",",,S",,,"29.7","H,,S",,,"27.9",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-28","0.0",",,S",,,"29.8","H,,S","32.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-29","0.0",",,S",,,"29.6","H,,S","31.6",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-30","0.0",",,S",,,"29.4","H,,S","32.7",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-05-31","0.0",",,S",,,"30.0","H,,S","32.3",",,S","27.9",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-01","0.0",",,S",,,"29.7","H,,S","32.3",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-02","0.0",",,S",,,"28.6","H,,S","31.2",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-03","0.0",",,S",,,"29.9","H,,S","32.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-04","0.0",",,S",,,"30.2","H,,S","32.9",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-05","0.0",",,S",,,"30.2","H,,S","34.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-06","0.5",",,S",,,"27.6","H,,S","30.7",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-07","35.6",",,S",,,"28.7","H,,S","31.6",",,S","25.9",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-08","0.0",",,S",,,"28.5","H,,S","31.7",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-09","6.1",",,S",,,"28.6","H,,S","31.5",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-10","4.6",",,S",,,"27.4","H,,S","29.3",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-11","18.0",",,S",,,"28.9","H,,S","29.4",",,S","26.9",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-12","4.1",",,S",,,"30.0","H,,S","32.0",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-13","0.0",",,S",,,"29.3","H,,S","31.0",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-14","1.0",",,S",,,"28.8","H,,S","31.0",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-15","6.6",",,S",,,"29.9","H,,S","32.0",",,S","27.9",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-16","0.0",",,S",,,"30.1","H,,S","32.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-17","0.0",",,S",,,"30.0","H,,S","32.2",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-18","0.0",",,S",,,"30.2","H,,S","33.0",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-19","0.0",",,S",,,"30.4","H,,S","32.8",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-20","0.0",",,S",,,"30.3","H,,S","32.9",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-21","0.0",",,S",,,"30.4","H,,S","32.7",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-22","0.0",",,S",,,"30.7","H,,S","33.0",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-23","0.0",",,S",,,"30.7","H,,S","33.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-24","2.0",",,S",,,"30.8","H,,S","33.4",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-25","0.0",",,S",,,"31.0","H,,S",,,,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-26","0.0",",,S",,,"30.9","H,,S",,,,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-27","0.0",",,S",,,"31.1","H,,S","34.0",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-28","0.0",",,S",,,"31.1","H,,S",,,,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-29","0.0",",,S",,,"30.9","H,,S","33.8",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-06-30","0.0",",,S",,,"30.7","H,,S","33.9",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-07-01","1.0",",,S",,,"31.1","H,,S","34.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-07-02","0.0",",,S",,,"31.2","H,,S","34.1",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-07-03","0.5",",,S",,,"31.4","H,,S","34.5",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-07-04","0.0",",,S",,,"31.3","H,,S","34.6",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-07-05","1.5",",,S",,,"30.6","H,,S","34.5",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-07-06","7.6",",,S",,,"30.1","H,,S","34.2",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-07-07","5.1",",,S",,,"29.8","H,,S","32.4",",,S","26.9",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-07-08","2.5",",,S",,,"30.5","H,,S","32.8",",,S","28.1",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-07-09","3.0",",,S",,,"29.8","H,,S","32.6",",,S","27.0",",,S"
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-07-10","2.0",",,S",,,"29.7","H,,S","32.2",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-07-11","4.1",",,S",,,"29.7","H,,S","32.4",",,S",,
"JAM00047918","ISHIGAKI, JA","24.345","124.187","28.3","2016-07-12","2.0",",,S",,,"29.9","H,,S",,,,
